iter	MAPE	RMSE
0	38.73992103	348581.7571
1	38.7254657	348498.3144
2	38.70558744	348413.9518
3	38.69730498	348330.6993
4	38.6765107	348263.9508
5	38.66237397	348180.9399
6	38.65390234	348098.0407
7	38.64328508	348015.2043
8	38.63127311	347932.4217
9	38.62173677	347849.8357
10	38.60280496	347767.1387
11	38.59338991	347684.7522
12	38.57199249	347584.2536
13	38.55403596	347501.8242
14	38.5341316	347419.4496
15	38.51546589	347337.1917
16	38.51027721	347255.0968
17	38.49158529	347173.0138
18	38.46892508	347090.9399
19	38.45439205	347009.2679
20	38.44853417	346927.7534
21	38.43811639	346846.4175
22	38.41974211	346764.8575
23	38.4148765	346683.6305
24	38.40070522	346602.5698
25	38.39764338	346521.5536
26	38.38282941	346439.8425
27	38.36348766	346358.7032
28	38.34444966	346277.8025
29	38.3336701	346197.1436
30	38.3144543	346116.3947
31	38.30467909	346036.0075
32	38.29284733	345955.7746
33	38.28724963	345875.6283
34	38.27858313	345795.539
35	38.26990655	345715.6006
36	38.26501705	345635.7319
37	38.25044449	345555.9927
38	38.23559484	345510.3819
39	38.22796619	345389.6921
40	38.2074712	345310.0851
41	38.18845669	345230.3215
42	38.17349544	345144.3776
43	38.1434688	345023.9248
44	38.14414403	344944.3305
45	38.12841367	344824.3
46	38.12069335	344745.3942
47	38.11012928	344666.4757
48	38.11676597	344587.4386
49	38.10727234	344508.8223
50	38.08161737	344429.9021
51	38.06627638	344351.1291
52	38.05722591	344272.7993
53	38.02712807	344153.2927
54	38.022199	344075.1324
55	38.01357746	343997.0901
56	37.99878657	343895.6647
57	37.99232984	343817.7628
58	37.97401494	343739.9237
59	37.96466599	343621.2682
60	37.95809962	343543.5464
61	37.94034487	343465.7991
62	37.93011581	343388.3945
63	37.92219767	343311.1165
64	37.89784856	343210.4145
65	37.88273413	343092.3842
66	37.87233196	343015.0092
67	37.85527573	342937.8771
68	37.83698663	342860.9997
69	37.82965682	342784.33
70	37.81176032	342707.4804
71	37.79855134	342590.062
72	37.78648578	342513.6119
73	37.78105616	342437.2554
74	37.76594703	342360.6921
75	37.75700639	342284.2621
76	37.73662616	342167.2211
77	37.73104569	342091.2764
78	37.72975463	341974.5114
79	37.71645142	341898.5894
80	37.69647595	341795.6364
81	37.68969426	341720.1024
82	37.67166691	341644.2175
83	37.66433118	341568.8676
84	37.66127258	341493.4991
85	37.6438605	341377.1538
86	37.63420072	341302.031
87	37.62192998	341186.2136
88	37.6200737	341111.2939
89	37.61024639	341036.4262
90	37.58897765	340920.7387
91	37.59068412	340846.0866
92	37.57108387	340771.263
93	37.55453086	340696.5001
94	37.54299355	340621.7816
95	37.53231696	340547.0576
96	37.51813814	340472.5815
97	37.51044941	340398.5451
98	37.51166677	340324.5119
99	37.50974043	340250.6481
100	37.49709437	340135.926
101	37.4789926	340061.9975
102	37.47518979	339988.1411
103	37.45769248	339914.5317
104	37.43836576	339799.9071
105	37.41226424	339726.3067
106	37.39682355	339652.6791
107	37.39484455	339579.3496
108	37.39335416	339506.2923
109	37.38650067	339433.3488
110	37.38604311	339360.4167
111	37.38659226	339287.5029
112	37.37477385	339214.7717
113	37.352581	339109.4829
114	37.34638886	339037.0337
115	37.32766237	338964.383
116	37.3294502	338891.7435
117	37.31998853	338819.5115
118	37.31142416	338747.104
119	37.29687246	338674.993
120	37.28863973	338562.2255
121	37.27483676	338490.4095
122	37.2572944	338418.5635
123	37.24464675	338305.2407
124	37.23130447	338206.4137
125	37.21923365	338134.5938
126	37.21165535	338063.1849
127	37.20596879	337991.8752
128	37.19775837	337920.5688
129	37.18168123	337849.2187
130	37.15926944	337777.9448
131	37.14020257	337665.7955
132	37.12539114	337594.7307
133	37.11374028	337523.8871
134	37.10535269	337453.2392
135	37.09824731	337355.1961
136	37.08291827	337284.3916
137	37.07617562	337213.961
138	37.0674254	337143.6587
139	37.05005245	337073.1788
140	37.04370041	337003.0368
141	37.0376121	336932.8562
142	37.03398221	336862.7574
143	37.01296961	336792.4604
144	37.00594008	336722.3336
145	36.99332901	336652.657
146	36.98816189	336568.0075
147	36.97382126	336457.6783
148	36.96372972	336388.2604
149	36.96029431	336318.8538
150	36.94400124	336259.6123
151	36.93101579	336190.2238
152	36.91809136	336080.34
153	36.91599713	336011.339
154	36.91689434	335942.3041
155	36.90140171	335873.2216
156	36.88696464	335804.2813
157	36.8853427	335735.6304
158	36.88292171	335667.0859
159	36.87886471	335598.4564
160	36.86402997	335529.7743
161	36.85824093	335461.5037
162	36.84924591	335392.8467
163	36.82889568	335283.695
164	36.81810261	335174.836
165	36.81265854	335106.8942
166	36.80049275	335038.5525
167	36.78790753	334970.479
168	36.7726244	334902.3944
169	36.76899439	334834.78
170	36.75888386	334766.8817
171	36.73611961	334699.1493
172	36.7308508	334631.8449
173	36.71204884	334523.6042
174	36.70567571	334456.3759
175	36.69887968	334389.3034
176	36.6834229	334322.0834
177	36.67654384	334255.1076
178	36.65728155	334147.2124
179	36.65449234	334080.4663
180	36.63751059	334013.6283
181	36.62254019	333945.8292
182	36.60686012	333879.1179
183	36.60853273	333812.6827
184	36.59306966	333746.2645
185	36.58480369	333679.8588
186	36.57054661	333613.5461
187	36.56461262	333547.5126
188	36.56174602	333481.4333
189	36.54299414	333414.9232
190	36.53922352	333349.1301
191	36.53383034	333283.417
192	36.53090491	333217.5912
193	36.51876239	333151.9699
194	36.50659847	333086.2816
195	36.4969115	333020.9313
196	36.48251358	332955.0848
197	36.47117704	332848.8858
198	36.4542252	332742.7944
199	36.44281342	332677.7747
200	36.42825798	332612.6259
201	36.4152581	332547.2409
202	36.40468421	332482.349
203	36.39460963	332417.473
204	36.39264878	332352.7576
205	36.38600518	332288.1752
206	36.37473498	332223.4135
207	36.36866475	332158.6449
208	36.36857649	332094.302
209	36.34872137	331989.0737
210	36.33623303	331924.7989
211	36.3233549	331833.5596
212	36.310546	331769.5093
213	36.28938297	331705.4248
214	36.27864925	331618.2595
215	36.26392264	331554.3367
216	36.25215133	331490.5135
217	36.2339899	331426.6137
218	36.21985312	331362.8908
219	36.20284371	331258.4152
220	36.1996172	331195.116
221	36.19718009	331131.8724
222	36.19562551	331068.703
223	36.18909335	331005.5646
224	36.18294551	330942.4928
225	36.17761941	330879.4483
226	36.17108089	330816.6463
227	36.16229227	330753.8555
228	36.15579439	330691.2189
229	36.14123032	330628.4157
230	36.13464603	330565.9555
231	36.12319041	330503.3645
232	36.11806249	330441.0423
233	36.11267004	330378.8024
234	36.11857232	330316.6312
235	36.10504964	330213.4305
236	36.10053996	330151.4468
237	36.08789664	330089.3592
238	36.0764164	330027.314
239	36.07758766	329965.5401
240	36.07525231	329903.6879
241	36.06287958	329841.9203
242	36.05676944	329780.2521
243	36.04391691	329718.5567
244	36.03338052	329657.0109
245	36.02923554	329595.7625
246	36.02317258	329534.2962
247	36.02044918	329473.1349
248	36.0052648	329411.7917
249	35.99218076	329350.6529
250	35.98258731	329289.5649
251	35.97051582	329187.7203
252	35.97363183	329126.9917
253	35.97266229	329066.3589
254	35.96602789	329005.5849
255	35.95991922	328945.1105
256	35.95366174	328884.6775
257	35.9460895	328824.2701
258	35.94973816	328764.0062
259	35.93884533	328703.6534
260	35.93602996	328643.5307
261	35.93309271	328583.554
262	35.92552033	328523.4942
263	35.9166741	328463.6268
264	35.90512479	328362.7491
265	35.89599429	328279.7435
266	35.88865582	328219.7398
267	35.88489246	328160.1996
268	35.88848898	328100.6192
269	35.87697698	328000.2073
270	35.85927636	327913.4689
271	35.85932725	327853.8208
272	35.84239118	327771.2808
273	35.83482591	327712.0821
274	35.82652464	327652.7697
275	35.82567966	327593.8394
276	35.81273235	327534.9097
277	35.81397254	327475.8635
278	35.7993358	327390.0638
279	35.78139145	327331.2218
280	35.7708322	327272.4794
281	35.7583844	327213.6943
282	35.75433373	327155.2999
283	35.74873795	327096.9503
284	35.73866522	327038.5418
285	35.7308268	326980.1105
286	35.73551795	326922.0414
287	35.7274581	326823.0831
288	35.72527257	326765.1625
289	35.71325599	326706.9721
290	35.71280715	326649.0051
291	35.70568263	326591.272
292	35.69873344	326533.5416
293	35.68698029	326475.697
294	35.68548738	326418.084
295	35.68159839	326360.6771
296	35.668747	326261.8867
297	35.66251603	326204.3783
298	35.65952148	326147.1512
299	35.65572408	326090.0487
300	35.65951362	326032.9733
301	35.65543736	325975.7546
302	35.64683331	325918.8121
303	35.63815538	325861.828
304	35.62800421	325804.9054
305	35.61648713	325747.8674
306	35.60508505	325691.0206
307	35.59733383	325634.2339
308	35.59591943	325577.7926
309	35.58562966	325521.3211
310	35.57087406	325464.5708
311	35.55966205	325408.2143
312	35.55839897	325351.9252
313	35.54422388	325272.7385
314	35.53275248	325216.4872
315	35.52961822	325160.5992
316	35.52372406	325077.4884
317	35.51223803	325021.5978
318	35.51434122	324965.8758
319	35.51127008	324910.2793
320	35.50137998	324854.4866
321	35.49336	324798.9224
322	35.49056329	324743.5368
323	35.49895832	324688.0523
324	35.48917473	324591.8137
325	35.48982466	324536.548
326	35.48478667	324481.391
327	35.4775912	324426.3339
328	35.4657881	324382.1681
329	35.45507806	324327.0668
330	35.44436477	324272.0921
331	35.43079399	324217.1149
332	35.42125435	324162.1077
333	35.4179913	324107.3303
334	35.4144718	324052.775
335	35.41087783	323997.909
336	35.39815753	323943.3547
337	35.38980593	323888.3421
338	35.37718292	323833.8458
339	35.37459693	323779.6854
340	35.36573522	323725.4244
341	35.3606323	323671.3991
342	35.35851203	323617.4194
343	35.3471665	323522.4428
344	35.34507829	323468.532
345	35.33051034	323373.7276
346	35.3236519	323320.0099
347	35.32522392	323266.366
348	35.32629178	323212.8058
349	35.32447432	323159.2998
350	35.31544267	323105.7234
351	35.31378987	323052.398
352	35.29678323	322998.7439
353	35.29269899	322945.5525
354	35.28774162	322892.4447
355	35.27874189	322839.2513
356	35.2756815	322786.2835
357	35.28106081	322733.356
358	35.26920689	322639.2986
359	35.25856961	322586.3857
360	35.25230522	322533.5105
361	35.25426871	322480.8538
362	35.25415676	322428.2046
363	35.2467674	322375.5195
364	35.2357832	322302.9062
365	35.23421824	322250.5641
366	35.23488529	322198.2585
367	35.23719653	322145.881
368	35.23337491	322093.6175
369	35.22745017	322041.5478
370	35.22073126	321962.2243
371	35.21590299	321910.2797
372	35.21355192	321858.4236
373	35.21432071	321806.4783
374	35.20425294	321754.617
375	35.20631072	321702.9131
376	35.19722402	321651.1479
377	35.18707173	321558.5629
378	35.1831598	321506.9305
379	35.17135911	321455.2476
380	35.16601848	321380.5371
381	35.15467012	321329.1098
382	35.15111416	321277.9309
383	35.1441988	321226.74
384	35.13950291	321175.6206
385	35.12978911	321124.5129
386	35.12789609	321073.61
387	35.13542241	321022.763
388	35.13518781	320971.9694
389	35.13009434	320917.5626
390	35.13213197	320866.8756
391	35.12020429	320816.2347
392	35.11026836	320724.6556
393	35.09541394	320633.0114
394	35.09171037	320582.5475
395	35.0824852	320532.0529
396	35.0721738	320440.6066
397	35.0647293	320390.4071
398	35.05990467	320340.1174
399	35.06444407	320289.9003
400	35.05661986	320239.8514
401	35.0545645	320189.9445
402	35.04555733	320112.9537
403	35.04152968	320062.9291
