iter	Passed	Remaining
0	3	5832
1	7	5768
2	10	5452
3	14	5281
4	17	5255
5	21	5303
6	25	5370
7	28	5326
8	31	5268
9	35	5218
10	38	5240
11	42	5232
12	45	5216
13	49	5211
14	52	5207
15	56	5202
16	59	5187
17	62	5183
18	66	5185
19	69	5172
20	73	5147
21	76	5121
22	79	5094
23	82	5089
24	85	5073
25	89	5072
26	92	5055
27	96	5060
28	99	5051
29	103	5071
30	106	5050
31	110	5049
32	113	5040
33	117	5051
34	120	5038
35	123	5028
36	126	5011
37	130	5005
38	133	4992
39	136	4998
40	140	4984
41	143	4986
42	147	4984
43	150	4979
44	153	4972
45	157	4965
46	159	4937
47	162	4928
48	166	4925
49	169	4920
50	173	4917
51	176	4911
52	179	4906
53	183	4905
54	186	4895
55	189	4887
56	192	4883
57	196	4877
58	199	4865
59	202	4863
60	205	4853
61	209	4865
62	213	4859
63	216	4864
64	220	4874
65	224	4880
66	228	4885
67	232	4890
68	235	4891
69	238	4878
70	241	4863
71	244	4850
72	247	4844
73	250	4835
74	254	4839
75	258	4845
76	262	4844
77	265	4839
78	269	4843
79	272	4839
80	276	4838
81	279	4831
82	282	4827
83	285	4814
84	288	4805
85	291	4799
86	294	4790
87	298	4785
88	301	4778
89	304	4769
90	307	4762
91	310	4752
92	313	4746
93	316	4736
94	319	4729
95	322	4722
96	325	4714
97	329	4710
98	332	4710
99	335	4703
100	339	4696
101	342	4691
102	345	4683
103	348	4679
104	351	4675
105	355	4670
106	358	4667
107	361	4660
108	364	4655
109	367	4649
110	371	4646
111	375	4654
112	379	4653
113	382	4652
114	384	4635
115	388	4632
116	391	4630
117	395	4629
118	398	4623
119	401	4619
120	405	4616
121	408	4611
122	411	4608
123	414	4603
124	418	4599
125	421	4594
126	424	4589
127	427	4582
128	430	4577
129	433	4571
130	436	4566
131	440	4562
132	443	4555
133	446	4549
134	449	4544
135	452	4539
136	455	4535
137	459	4531
138	462	4525
139	465	4520
140	468	4516
141	471	4511
142	474	4505
143	477	4501
144	481	4497
145	484	4492
146	487	4486
147	490	4482
148	493	4476
149	496	4472
150	499	4465
151	502	4460
152	505	4454
153	508	4446
154	511	4442
155	515	4438
156	518	4434
157	522	4433
158	525	4431
159	529	4434
160	532	4430
161	536	4431
162	540	4434
163	544	4438
164	548	4438
165	552	4443
166	556	4445
167	560	4446
168	565	4450
169	568	4450
170	572	4446
171	575	4442
172	578	4436
173	581	4433
174	585	4429
175	588	4425
176	591	4420
177	594	4418
178	598	4414
179	601	4410
180	604	4405
181	607	4400
182	611	4397
183	614	4394
184	617	4391
185	620	4386
186	624	4383
187	627	4377
188	630	4373
189	633	4369
190	637	4366
191	640	4360
192	643	4358
193	646	4354
194	650	4351
195	653	4347
196	657	4345
197	660	4341
198	663	4337
199	666	4333
200	670	4330
201	673	4329
202	677	4325
203	680	4320
204	683	4317
205	686	4312
206	690	4310
207	693	4307
208	696	4303
209	700	4300
210	703	4296
211	706	4292
212	710	4290
213	713	4286
214	716	4285
215	720	4280
216	723	4277
217	726	4273
218	730	4272
219	733	4268
220	736	4260
221	739	4255
222	742	4252
223	745	4248
224	749	4245
225	752	4239
226	755	4235
227	758	4231
228	761	4227
229	765	4224
230	768	4220
231	771	4215
232	774	4210
233	777	4206
234	780	4203
235	783	4198
236	786	4193
237	789	4184
238	792	4179
239	795	4174
240	798	4171
241	801	4166
242	804	4162
243	808	4159
244	811	4155
245	814	4150
246	817	4146
247	820	4143
248	823	4139
249	827	4135
250	829	4128
251	832	4124
252	836	4121
253	839	4116
254	842	4115
255	846	4111
256	849	4107
257	852	4102
258	855	4098
259	858	4094
260	861	4090
261	865	4088
262	868	4085
263	872	4083
264	875	4081
265	879	4078
266	882	4074
267	885	4070
268	888	4066
269	891	4061
270	894	4058
271	898	4054
272	901	4051
273	904	4047
274	907	4043
275	910	4039
276	914	4035
277	917	4032
278	920	4028
279	923	4025
280	927	4021
281	930	4018
282	933	4014
283	936	4010
284	939	4007
285	943	4004
286	946	4002
287	950	4000
288	954	3998
289	957	3995
290	961	3993
291	964	3991
292	968	3989
293	971	3986
294	975	3984
295	978	3981
296	982	3978
297	985	3975
298	988	3971
299	992	3968
300	995	3965
301	999	3963
302	1002	3960
303	1005	3956
304	1008	3952
305	1012	3949
306	1015	3946
307	1019	3943
308	1022	3940
309	1025	3936
310	1028	3933
311	1031	3929
312	1035	3925
313	1038	3921
314	1041	3917
315	1043	3910
316	1047	3910
317	1051	3908
318	1055	3905
319	1057	3900
320	1060	3896
321	1064	3893
322	1067	3889
323	1070	3886
324	1074	3883
325	1077	3879
326	1080	3876
327	1084	3873
328	1087	3870
329	1090	3867
330	1093	3861
331	1096	3857
332	1099	3854
333	1103	3851
334	1106	3848
335	1110	3845
336	1113	3842
337	1116	3839
338	1120	3837
339	1123	3834
340	1127	3830
341	1131	3832
342	1135	3828
343	1138	3826
344	1145	3833
345	1148	3831
346	1152	3829
347	1156	3828
348	1159	3825
349	1163	3822
350	1166	3818
351	1169	3813
352	1172	3810
353	1175	3806
354	1179	3802
355	1181	3797
356	1184	3792
